experiment_id,metric_name,value,unit,ci_low,ci_high,n,model_id,method,batch,k,measurement_type,evidence_state,artifact_id
BASE-FIXED-C4-001,macro_recall,0.8070084386517631,proportion,,,,MODEL-C4,,2,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,accuracy,0.776796973518285,proportion,,,,MODEL-C4,,3,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,macro_f1,0.5676258280355576,proportion,,,,MODEL-C4,,3,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,balanced_accuracy,0.71632012417531,proportion,,,,MODEL-C4,,3,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,macro_precision,0.5751783269246694,proportion,,,,MODEL-C4,,3,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,macro_recall,0.5969334368127583,proportion,,,,MODEL-C4,,3,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,accuracy,0.577639751552795,proportion,,,,MODEL-C4,,4,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,macro_f1,0.40881362646068525,proportion,,,,MODEL-C4,,4,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,balanced_accuracy,0.4916666666666667,proportion,,,,MODEL-C4,,4,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,macro_precision,0.4117415287628054,proportion,,,,MODEL-C4,,4,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,macro_recall,0.40972222222222227,proportion,,,,MODEL-C4,,4,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,accuracy,0.4416243654822335,proportion,,,,MODEL-C4,,5,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,macro_f1,0.4623416743898671,proportion,,,,MODEL-C4,,5,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,balanced_accuracy,0.5900000000000001,proportion,,,,MODEL-C4,,5,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,macro_precision,0.4405797101449275,proportion,,,,MODEL-C4,,5,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,macro_recall,0.5900000000000001,proportion,,,,MODEL-C4,,5,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,accuracy,0.4926086956521739,proportion,,,,MODEL-C4,,6,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,macro_f1,0.30927446843794953,proportion,,,,MODEL-C4,,6,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,balanced_accuracy,0.47330852752013214,proportion,,,,MODEL-C4,,6,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,macro_precision,0.4806661099663261,proportion,,,,MODEL-C4,,6,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,macro_recall,0.47330852752013214,proportion,,,,MODEL-C4,,6,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,accuracy,0.4458898422363687,proportion,,,,MODEL-C4,,7,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,macro_f1,0.3093977212378624,proportion,,,,MODEL-C4,,7,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,balanced_accuracy,0.48262220463882094,proportion,,,,MODEL-C4,,7,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,macro_precision,0.4051516141360046,proportion,,,,MODEL-C4,,7,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,macro_recall,0.48262220463882094,proportion,,,,MODEL-C4,,7,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,accuracy,0.24149659863945577,proportion,,,,MODEL-C4,,8,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,macro_f1,0.17957978839012068,proportion,,,,MODEL-C4,,8,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,balanced_accuracy,0.34398148148148144,proportion,,,,MODEL-C4,,8,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,macro_precision,0.4358806022408963,proportion,,,,MODEL-C4,,8,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,macro_recall,0.34398148148148144,proportion,,,,MODEL-C4,,8,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,accuracy,0.3425531914893617,proportion,,,,MODEL-C4,,9,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,macro_f1,0.17489492855141497,proportion,,,,MODEL-C4,,9,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,balanced_accuracy,0.3333333333333333,proportion,,,,MODEL-C4,,9,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,macro_precision,0.11892736892736892,proportion,,,,MODEL-C4,,9,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,macro_recall,0.3333333333333333,proportion,,,,MODEL-C4,,9,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,accuracy,0.4216666666666667,proportion,,,,MODEL-C4,,10,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,macro_f1,0.3581599216052737,proportion,,,,MODEL-C4,,10,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,balanced_accuracy,0.42166666666666663,proportion,,,,MODEL-C4,,10,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,macro_precision,0.4861057405225588,proportion,,,,MODEL-C4,,10,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,macro_recall,0.42166666666666663,proportion,,,,MODEL-C4,,10,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-EXPAND-C1-001,accuracy,0.8143086816720257,proportion,,,,MODEL-C1,,2,,EXECUTED,EXECUTED,ART-7DD95D383914
BASE-EXPAND-C1-001,macro_f1,0.6665881787253305,proportion,,,,MODEL-C1,,2,,EXECUTED,EXECUTED,ART-7DD95D383914
BASE-EXPAND-C1-001,balanced_accuracy,0.7460218843442767,proportion,,,,MODEL-C1,,2,,EXECUTED,EXECUTED,ART-7DD95D383914
BASE-EXPAND-C1-001,macro_precision,0.6515026424600893,proportion,,,,MODEL-C1,,2,,EXECUTED,EXECUTED,ART-7DD95D383914
BASE-EXPAND-C1-001,macro_recall,0.7460218843442767,proportion,,,,MODEL-C1,,2,,EXECUTED,EXECUTED,ART-7DD95D383914
BASE-EXPAND-C1-001,accuracy,0.8669609079445145,proportion,,,,MODEL-C1,,3,,EXECUTED,EXECUTED,ART-7DD95D383914
BASE-EXPAND-C1-001,macro_f1,0.7174558870157693,proportion,,,,MODEL-C1,,3,,EXECUTED,EXECUTED,ART-7DD95D383914
BASE-EXPAND-C1-001,balanced_accuracy,0.8794132909563437,proportion,,,,MODEL-C1,,3,,EXECUTED,EXECUTED,ART-7DD95D383914
BASE-EXPAND-C1-001,macro_precision,0.7385232673612149,proportion,,,,MODEL-C1,,3,,EXECUTED,EXECUTED,ART-7DD95D383914
BASE-EXPAND-C1-001,macro_recall,0.7328444091302865,proportion,,,,MODEL-C1,,3,,EXECUTED,EXECUTED,ART-7DD95D383914
