model_id,method,scope,batch,wall_time_ns
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21929100
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,22090400
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,22020000
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,22313300
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21930200
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21946300
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21885500
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,22382700
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21966200
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21857300
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,22019100
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21981900
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21858300
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21702100
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,22407600
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,22388600
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,22220600
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,22106200
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,22236900
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,22267900
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,22269600
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,22021000
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21770100
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,22475000
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21567800
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21691300
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21769200
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21877700
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21803900
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21812100
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21835600
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21156300
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21569100
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21566800
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21425500
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21303200
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,2.0,1377935400
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,2.0,1330028700
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,2.0,1324052400
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,6.0,1315073600
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,6.0,1307397900
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,6.0,1344190400
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,10.0,1335815400
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,10.0,1320504300
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,10.0,1306161100
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,2.0,9436451100
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,2.0,9467838300
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,2.0,9463815500
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,6.0,9299690700
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,6.0,9359869200
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,6.0,9360704800
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,10.0,9531043400
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,10.0,9677474500
MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,10.0,9784048500
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,2.0,3337344800
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,2.0,3319257500
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,2.0,3266477500
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,6.0,3329822600
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,6.0,3269021700
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,6.0,3352105200
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,10.0,3286254500
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,10.0,3236143900
MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,10.0,3261422600
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,2.0,1456236700
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,2.0,1448625800
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,2.0,1441459900
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,6.0,1444864400
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,6.0,1440517600
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,6.0,1464242400
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,10.0,1476619200
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,10.0,1458450700
MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,10.0,1468170900
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,448800
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,442100
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,446200
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,451100
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,443100
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,435400
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,436100
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,445700
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,442300
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,437400
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,438000
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,448700
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,433900
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,437000
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,437200
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,446000
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,435500
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,436600
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,435800
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,444500
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,437200
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,438800
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,443800
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,703700
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,445000
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,444600
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,454200
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,442300
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,440700
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10.0,443800
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,698500
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,701100
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,711100
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,702800
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,705800
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,702200
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,697900
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,704900
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,784300
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,709000
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,700100
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,700100
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,705800
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,696600
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,699000
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,691600
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,700200
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10.0,692200
