experiment_id,sample_id,model_id,method,feature_index,feature_name,contribution,rank
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,69,S9:EMAi_0.1,0.0050000000000000044,76
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,70,S9:EMAd_0.001,0.020000000000000018,31
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,71,S9:EMAd_0.01,0.0,107
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,72,S9:EMAd_0.1,0.010000000000000009,53
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,73,S10:dR,0.040000000000000036,7
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,74,S10:dR_norm,0.010000000000000009,54
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,75,S10:EMAi_0.001,0.0050000000000000044,77
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,76,S10:EMAi_0.01,0.0050000000000000044,78
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,77,S10:EMAi_0.1,0.0,108
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,78,S10:EMAd_0.001,0.0,109
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,79,S10:EMAd_0.01,0.0,110
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,80,S10:EMAd_0.1,0.015000000000000013,41
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,81,S11:dR,0.015000000000000013,42
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,82,S11:dR_norm,0.030000000000000027,15
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,83,S11:EMAi_0.001,0.0050000000000000044,79
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,84,S11:EMAi_0.01,0.0,111
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,85,S11:EMAi_0.1,0.0,112
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,86,S11:EMAd_0.001,0.025000000000000022,18
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,87,S11:EMAd_0.01,0.020000000000000018,32
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,88,S11:EMAd_0.1,0.0,113
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,89,S12:dR,0.050000000000000044,5
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,90,S12:dR_norm,-0.0050000000000000044,80
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,91,S12:EMAi_0.001,0.0050000000000000044,81
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,92,S12:EMAi_0.01,0.0,114
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,93,S12:EMAi_0.1,0.0,115
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,94,S12:EMAd_0.001,0.015000000000000013,43
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,95,S12:EMAd_0.01,0.0,116
