experiment_id,artifact_path,sha256,source_model_sha256,generator,git_commit,evidence_state
EXP-EMBED-FP32-EQUIV-001,embedded/tests/fp32_equivalence/stage14_c4_outputs_repeat.csv,61aa6ac1f2bab99f5f4bc2974bf916cceb77360b5cd01785b19a239e12e2484e,af63d8b42a20991f768f993185dc65b96079a9a51adc4dc67b7e60574d849cc5,scripts/run_stage14_fp32_equivalence.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,embedded/tests/fp32_equivalence/stage14_c4_outputs_o0.csv,61aa6ac1f2bab99f5f4bc2974bf916cceb77360b5cd01785b19a239e12e2484e,af63d8b42a20991f768f993185dc65b96079a9a51adc4dc67b7e60574d849cc5,scripts/run_stage14_fp32_equivalence.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,configs/fp32_export_equivalence.yaml,d9bb9d560160c77ae9d42272a591017cae963bad01caad31055c1a9796e60730,MULTIPLE_OR_NOT_APPLICABLE,scripts/run_stage14_fp32_equivalence.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,docs/embedded/STAGE14_FP32_EXPORT_EQUIVALENCE_PROTOCOL.md,2b34f819700ac675e3d13b132452c98d02376c2517a7905bf61f66b371a7651c,MULTIPLE_OR_NOT_APPLICABLE,scripts/run_stage14_fp32_equivalence.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,docs/embedded/STAGE14_FP32_EXPORT_EQUIVALENCE.md,75822446203d2ed87902d75d0b4f0d1b96118b87e30293f5b62619a962d2a2d5,MULTIPLE_OR_NOT_APPLICABLE,scripts/run_stage14_fp32_equivalence.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,results/embedded/stage14_input_manifest.csv,b124fade7cd1150088b40b1e93db90014a840630b2f9475a8af11e21d62c315b,MULTIPLE_OR_NOT_APPLICABLE,scripts/run_stage14_fp32_equivalence.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,results/embedded/stage14_parameter_conversion.csv,42b08aa8dacc394902d44edc8a6c0a6f6882fe7533949f12f7af7fc8d34e7c3d,MULTIPLE_OR_NOT_APPLICABLE,scripts/run_stage14_fp32_equivalence.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,results/embedded/stage14_preprocessing_equivalence.csv,43297b90f2b576af617eda865147bdbb7550b3c6a9abeca92c925746402920df,MULTIPLE_OR_NOT_APPLICABLE,scripts/run_stage14_fp32_equivalence.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,results/embedded/stage14_output_equivalence.csv,4c321c87813e837d7ed31ee950c6a1a06e5508dae08ee4de6a9780a877c85bc2,MULTIPLE_OR_NOT_APPLICABLE,scripts/run_stage14_fp32_equivalence.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,results/embedded/stage14_decision_equivalence.csv,9f83dd8322e3a1e018bffedd66d338d6479d3b01facf5e18d64329626933eb20,MULTIPLE_OR_NOT_APPLICABLE,scripts/run_stage14_fp32_equivalence.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,results/embedded/stage14_boundary_analysis.csv,436c33bbdc9ca96172a77db1c417233b15196e69927aba8f9117f13f2c9ecb4f,MULTIPLE_OR_NOT_APPLICABLE,scripts/run_stage14_fp32_equivalence.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,results/embedded/stage14_c1_xai_equivalence.csv,67735aac068555e5d6222feaef0b66b7412e5771a28fe778a3a9bb68c8a8c94a,523969e083f87661191b97852b5bfed21513042c5a6b9d78c81fb52386d04214,scripts/run_stage14_fp32_equivalence.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,results/embedded/stage14_export_storage.csv,40d1bf82546e28a2203812c31e8b142de81984150e3cf1d47bdf538356d556c4,MULTIPLE_OR_NOT_APPLICABLE,scripts/run_stage14_fp32_equivalence.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,results/embedded/stage14_working_buffers.csv,c13a7645791caa895902c6c9c18fa33164b8e4dc79ef6ea017eb1b7bd18bfdc9,MULTIPLE_OR_NOT_APPLICABLE,scripts/run_stage14_fp32_equivalence.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,results/embedded/stage14_build_environment.json,f1dd2561623a6d5dc7f4f884f1b0cb5567f4bcd29e158ace1d265b2ef45bd97e,MULTIPLE_OR_NOT_APPLICABLE,scripts/run_stage14_fp32_equivalence.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,results/embedded/stage14_claim_evaluation.csv,fe73cff4f2c64510f88e5addf04b90cb8c7670231852132bdff2c1c0700ee7dd,MULTIPLE_OR_NOT_APPLICABLE,scripts/run_stage14_fp32_equivalence.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,results/embedded/stage14_summary.json,59f9cd5fe13873be2b16b1ebaedec461ba806e2921a61d944184ce43dd280a93,MULTIPLE_OR_NOT_APPLICABLE,scripts/run_stage14_fp32_equivalence.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
