experiment_id,sample_id,feature_id,reference_attribution,exported_attribution,absolute_error,relative_error,sign_agreement,top_1_overlap,top_3_overlap,top_5_overlap,top_10_overlap,top_20_overlap,pass
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F051,-0.20195041344514622,-0.201950416,2.5548537729847e-09,1.2650896472062184e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F052,-0.17255286326621602,-0.172552869,5.73378397539237e-09,3.3229144198820046e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F053,-0.2902789616125952,-0.290278941,2.061259518626457e-08,7.100960769514545e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F054,-0.21118894859462928,-0.211188942,6.594629287093312e-09,3.122620445329978e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F055,-0.07295393730169933,-0.0729539245,1.2801699325604154e-08,1.7547646911314768e-07,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F056,-0.05693214793623463,-0.0569321439,4.036234624305024e-09,7.089552687921951e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F057,-0.09403065473130899,-0.0940306559,1.168691005082323e-09,1.2428829815360084e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F058,0.005524203693760641,0.00552420365,4.376064094424592e-11,7.921619724788887e-09,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F059,-0.18092951369379803,-0.180929497,1.6693798038369678e-08,9.226685960490653e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F060,-0.14389793608735052,-0.143897936,8.735051570951669e-11,6.070310532910785e-10,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F061,-0.255056373805416,-0.255056381,7.194583984126979e-09,2.8207818831517492e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F062,-0.1925203530680151,-0.192520365,1.193198490012648e-08,6.19777842185395e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F063,-0.025778780992779554,-0.0257787779,3.0927795532931235e-09,1.1997384803258882e-07,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F064,0.14745682153628503,0.147456825,3.463714981499777e-09,2.3489689696366152e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F065,0.1761046485870769,0.17610465,1.4129231118431562e-09,8.023201676840011e-09,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F066,0.1678455814658974,0.167845577,4.465897401884078e-09,2.660717882997386e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F067,0.17296007808437514,0.172960073,5.084375143127318e-09,2.9396235243643948e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F068,0.13777787014721002,0.137777865,5.147210019318393e-09,3.735875735209733e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F069,0.09853881319820633,0.0985388011,1.2098206325639183e-08,1.2277605070505764e-07,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F070,0.10488933653330314,0.104889333,3.5333031361828304e-09,3.368600901637871e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F071,0.1533708568813259,0.153370842,1.4881325893778552e-08,9.702838072615912e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F072,0.07838576791729727,0.0783857703,2.382702729564201e-09,3.0397134491023e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F073,0.12383405691161961,0.123834059,2.088380385290023e-09,1.686434602381234e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F074,0.10743154352537729,0.107431553,9.474622711391767e-09,8.81921863959228e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F075,0.09447695714006764,0.0944769606,3.4599323683881522e-09,3.662197082891439e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F076,0.08914721351744717,0.0891472101,3.4174471724712774e-09,3.833487371764505e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F077,-0.009960548515729492,-0.00996054802,4.957294921781319e-10,4.9769296479534854e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F078,-0.0013556386650056384,-0.00135563861,5.5005638282049074e-11,4.057544218969315e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F079,0.09087284995812352,0.0908728391,1.0858123511425788e-08,1.1948699217015295e-07,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F080,0.47960651843979585,0.479606509,9.439795833898756e-09,1.9682376012334614e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F081,0.27882968444296835,0.278829694,9.55703166605204e-09,3.427551727551745e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F082,0.19523782085094957,0.19523783,9.149050433920891e-09,4.6861055885814006e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F083,0.02395203000262149,0.0239520296,4.0262148823244637e-10,1.680949331594777e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F084,-0.026385711754853547,-0.0263857134,1.645146453094215e-09,6.234989862616069e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F085,-0.007248294969767539,-0.00724829454,4.2976753839713e-10,5.9292225301216346e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F086,0.013959673348022545,0.0139596723,1.0480225454828629e-09,7.50750049342179e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F087,0.15501465734240913,0.155014649,8.342409124617589e-09,5.381690523748467e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F088,0.5633994783039585,0.563399434,4.4303958501856755e-08,7.863684686969911e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F089,0.22115015314315511,0.221150175,2.185684488953399e-08,9.88326011937491e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F090,0.2574092554596903,0.257409275,1.9540309703636183e-08,7.59114495270981e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F091,0.07787169228094454,0.0778716803,1.1980944542022698e-08,1.5385493997996078e-07,True,1.0,1.0,1.0,1.0,1.0,True
