experiment_id,model_id,method,batch,family,family_rank,aggregated_importance,features_altered,macro_f1_damage,unit
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,8,steady_state_resistance_change,1,0.1814234100639584,16,0.12296729431744238,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,8,rising_transient_ema,2,0.11618799658107837,48,0.011976911541583257,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,8,normalized_resistance_response,3,0.0774446749417705,16,0.2282661729906581,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,8,decaying_transient_ema,4,0.07278266499735432,48,0.10441934250453774,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,9,decaying_transient_ema,1,0.29313278582480623,48,-0.018252663388996032,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,9,rising_transient_ema,2,0.18567669962531655,48,-0.17361170730392902,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,9,normalized_resistance_response,3,0.041724703197048005,16,-0.01694359777608445,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,9,steady_state_resistance_change,4,0.01247088246239439,16,-0.02575643354730653,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,10,decaying_transient_ema,1,0.2988844398194851,48,0.16788221952796456,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,10,rising_transient_ema,2,0.16515243267874466,48,-0.05945519196486826,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,10,steady_state_resistance_change,3,0.1591870379886594,16,0.06802342331885439,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,10,normalized_resistance_response,4,0.0902488300277226,16,0.02738923246831007,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,2,rising_transient_ema,1,0.11924151136979773,48,0.1274247893637459,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,2,decaying_transient_ema,2,0.11913948943036543,48,0.33073710279451535,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,2,steady_state_resistance_change,3,0.06474970724322222,16,0.23563012104838454,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,2,normalized_resistance_response,4,0.0354428781756427,16,0.23433874755932366,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,3,rising_transient_ema,1,0.712864329731438,48,0.1371615692757478,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,3,decaying_transient_ema,2,0.48946880645465624,48,0.37428391728429655,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,3,normalized_resistance_response,3,0.1849158065324083,16,0.22424899986763075,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,3,steady_state_resistance_change,4,0.17958681959146447,16,0.3268108757047857,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,decaying_transient_ema,1,0.46727467679968004,48,0.30615703075679446,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,steady_state_resistance_change,2,0.3305424436031528,16,0.20828084849036832,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,normalized_resistance_response,3,0.21417369573121905,16,0.10304952247281557,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,4,rising_transient_ema,4,0.15929419826160726,48,-0.12031209711938773,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,5,decaying_transient_ema,1,0.1539453544351462,48,0.34667758667758664,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,5,steady_state_resistance_change,2,0.1315144695340485,16,0.19012411012411007,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,5,normalized_resistance_response,3,0.0737102690795952,16,0.20065351199371817,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,5,rising_transient_ema,4,0.0346405375802961,48,0.03426506720624367,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,6,normalized_resistance_response,1,0.03672279636764431,16,0.168959950746864,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,6,decaying_transient_ema,2,0.033277097989808435,48,0.24667264082737966,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,6,rising_transient_ema,3,0.030362668371042994,48,0.003165486973437548,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,6,steady_state_resistance_change,4,0.0178457555431234,16,0.1636056139336985,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,7,decaying_transient_ema,1,0.09177019057088755,48,0.14289167592331312,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,7,steady_state_resistance_change,2,0.07251239803222921,16,0.0635289488466382,macro_f1_proportion
