experiment_id,analysis,model_id,method,source_sample_id,target_sample_id,source_batch,target_batch,true_class,source_category,target_category,input_distance,model_output_distance,explanation_distance,spearman,kendall_tau_b,jaccard_at_5,jaccard_at_10,jaccard_at_20,cosine_similarity,sign_agreement,top_k_sign_agreement,sign_flip_frequency,unit,status
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,INTRINSIC_COEFFICIENT,B2:778,B10:1655,2,10,5,NEAR_DECISION_BOUNDARY,CORRECT_REPRESENTATIVE,1.3054074871859687,0.5194096768525541,0.3015768939871336,0.8259247390587803,0.6400098425196852,0.25,0.25,0.48148148148148145,0.7588699470467836,0.875,1.0,0.125,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,INTRINSIC_COEFFICIENT,B2:473,B10:1514,2,10,6,CORRECT_REPRESENTATIVE,CORRECT_REPRESENTATIVE,0.6735694273896784,0.29932711824979324,0.20220062016299,0.7644719373741072,0.6087598425196852,0.25,0.3333333333333333,0.6666666666666666,0.7854485881340253,0.8046875,0.6666666666666666,0.1953125,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,INTRINSIC_COEFFICIENT,B2:474,B10:1516,2,10,6,CORRECT_REPRESENTATIVE,CORRECT_REPRESENTATIVE,0.6033449881188576,0.3831586358981379,0.2538237460434881,0.7352877220289323,0.5895669291338583,0.42857142857142855,0.5384615384615384,0.6666666666666666,0.6207612821258883,0.796875,0.7916666666666666,0.203125,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:0,B6:24,2,6,1,CORRECT_REPRESENTATIVE,CORRECT_REPRESENTATIVE,2.350789095834228,0.08573183990132732,0.7298683635535759,0.14422724775682108,0.08710629921259844,0.0,0.05263157894736842,0.1111111111111111,0.24818506023133519,0.3671875,0.3333333333333333,0.6328125,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:1,B6:23,2,6,1,CORRECT_REPRESENTATIVE,CORRECT_REPRESENTATIVE,2.388266041085845,0.02848619215487896,0.8071883417669407,-0.07044268449002014,-0.048966535433070876,0.0,0.1111111111111111,0.08108108108108109,0.13724122148717108,0.296875,0.21621621621621623,0.703125,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:71,B6:0,2,6,2,CORRECT_REPRESENTATIVE,CORRECT_REPRESENTATIVE,2.4912426339966407,4.856382629268932e-05,0.39043178045736365,0.7497539370078741,0.5848917322834647,0.25,0.25,0.48148148148148145,0.6584127960753738,0.9140625,1.0,0.0859375,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:495,B6:1,2,6,2,NEAR_DECISION_BOUNDARY,CORRECT_REPRESENTATIVE,1.5609671212631806,0.5035349858888936,0.42193708115080925,0.7220632668009522,0.5344488188976378,0.0,0.17647058823529413,0.25,0.6407946464478435,0.0234375,0.0,0.9765625,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:534,B6:390,2,6,3,CORRECT_REPRESENTATIVE,MISCLASSIFIED,0.5866792971399868,0.4414785137602533,0.2431944528454626,0.7963971800036623,0.6363188976377954,0.6666666666666666,0.42857142857142855,0.5384615384615384,0.8874826358415697,0.1796875,0.07692307692307693,0.8203125,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:535,B6:388,2,6,3,CORRECT_REPRESENTATIVE,MISCLASSIFIED,0.5939351412169025,0.4892802203936093,0.2696589943141293,0.7913843618384911,0.6284448818897639,0.25,0.42857142857142855,0.48148148148148145,0.8493026319963345,0.1953125,0.07407407407407407,0.8046875,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:540,B6:389,2,6,3,NEAR_DECISION_BOUNDARY,MISCLASSIFIED,0.5924308354656224,0.4242932281287721,0.2470359520206835,0.8019421809192454,0.6414862204724411,0.42857142857142855,0.42857142857142855,0.5384615384615384,0.8667523601231303,0.8203125,0.9615384615384616,0.1796875,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:211,B6:1461,2,6,5,CORRECT_REPRESENTATIVE,NEAR_DECISION_BOUNDARY,0.5798962467644064,0.7409170844510968,0.41907818311064504,0.2603346456692914,0.18946850393700793,0.42857142857142855,0.3333333333333333,0.17647058823529413,0.6847133897300252,0.484375,0.7941176470588235,0.515625,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:212,B6:1464,2,6,5,CORRECT_REPRESENTATIVE,NEAR_DECISION_BOUNDARY,0.5561683776448904,0.8394199488177817,0.4322827020590473,0.17739425013733748,0.12721456692913388,0.0,0.17647058823529413,0.21212121212121213,0.6559456175248324,0.484375,0.696969696969697,0.515625,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:778,B6:1562,2,6,5,NEAR_DECISION_BOUNDARY,NEAR_DECISION_BOUNDARY,1.3726652507522443,0.5328515727579052,0.5542710193293172,-0.00446919062442776,-0.009104330708661418,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.49928939939950706,0.484375,0.5428571428571428,0.515625,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B6:23,B10:842,6,10,1,CORRECT_REPRESENTATIVE,CORRECT_REPRESENTATIVE,1.1170832299727222,4.6317945235624355e-05,0.457099299250692,0.4649789415857901,0.32332677165354334,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.7528436334507612,0.6015625,0.7916666666666666,0.3984375,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B6:24,B10:840,6,10,1,CORRECT_REPRESENTATIVE,CORRECT_REPRESENTATIVE,1.9488663398132633,0.002302465696340923,0.6704388312126306,0.39675082402490386,0.27189960629921267,0.25,0.1111111111111111,0.21212121212121213,0.42877330642866224,0.515625,0.5757575757575758,0.484375,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B6:0,B10:125,6,10,2,CORRECT_REPRESENTATIVE,CORRECT_REPRESENTATIVE,2.830321978970387,1.4483024466906692e-07,0.5975566924501068,0.3755665171214063,0.23720472440944884,0.0,0.0,0.21212121212121213,0.3171437875476434,0.625,0.8787878787878788,0.375,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B6:1,B10:123,6,10,2,CORRECT_REPRESENTATIVE,CORRECT_REPRESENTATIVE,2.847208642576008,0.07440809890552642,0.4735257375539629,0.32121520783739244,0.2148129921259843,0.1111111111111111,0.1111111111111111,0.21212121212121213,0.5856222818294,0.609375,0.9090909090909091,0.390625,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B6:387,B10:2363,6,10,3,MISCLASSIFIED,NEAR_DECISION_BOUNDARY,0.7226932762820829,0.4566077703782246,0.37048933060476197,0.5816585790148324,0.4411909448818898,0.25,0.3333333333333333,0.3793103448275862,0.7687973236239083,0.2265625,0.1724137931034483,0.7734375,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B6:388,B10:9,6,10,3,MISCLASSIFIED,CORRECT_REPRESENTATIVE,0.48477537381389035,0.9283253694402476,0.4325509671052656,0.6944641549166819,0.5287893700787402,0.0,0.17647058823529413,0.42857142857142855,0.4565509455001298,0.25,0.07142857142857142,0.75,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B6:389,B10:11,6,10,3,MISCLASSIFIED,CORRECT_REPRESENTATIVE,0.4049673420247285,0.8512934640252553,0.418263313672154,0.6679294085332356,0.4963090551181103,0.0,0.1111111111111111,0.48148148148148145,0.5376627713812027,0.2109375,0.1111111111111111,0.7890625,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B6:390,B10:3,6,10,3,MISCLASSIFIED,MISCLASSIFIED,0.6770050913645992,0.7161021703281779,0.5429786796097978,0.2364608130379051,0.15083661417322838,0.0,0.0,0.21212121212121213,0.39488744833017975,0.4609375,0.5151515151515151,0.5390625,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B6:391,B10:2287,6,10,3,MISCLASSIFIED,NEAR_DECISION_BOUNDARY,0.6222753867859443,0.302969800027866,0.33366456289491464,0.6486277696392602,0.4933562992125985,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.7052968185753163,0.3359375,0.23333333333333334,0.6640625,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B6:488,B10:1,6,10,3,CORRECT_REPRESENTATIVE,MISCLASSIFIED,0.5360028111235601,0.4145066290829346,0.3599374131366495,0.4148049807727522,0.30930118110236227,0.25,0.25,0.25,0.7282662494605519,0.359375,0.34375,0.640625,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B6:1539,B10:1663,6,10,5,NEAR_DECISION_BOUNDARY,CORRECT_REPRESENTATIVE,0.9433288696924769,0.46433000330160146,0.6764441731548194,-0.09771561984984435,-0.07283464566929135,0.0,0.05263157894736842,0.05263157894736842,0.21272565544749156,0.5703125,0.5526315789473685,0.4296875,distance_similarity_or_proportion,EXECUTED
