experiment_id,model_id,method,comparison_type,anchor_batch,batch_a,batch_b,n_features,scope,explanation_distance,input_change,model_macro_f1_change,model_output_distribution_change,epsilon,explanation_per_input_change,explanation_per_output_change,unit,status
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,8,9,128,GLOBAL,0.41060814616850544,0.05920337575269485,0.1491196167474737,0.019915617310754804,1e-08,6.935551758537984,20.617384517271493,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,8,9,128,GLOBAL,0.41060814616850544,0.05920337575269485,0.1491196167474737,0.019915617310754804,1e-06,6.9354357840655965,20.616359684070474,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,8,9,128,GLOBAL,0.41060814616850544,0.05920337575269485,0.1491196167474737,0.019915617310754804,0.0001,6.923857891004571,20.514388329550908,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,9,10,128,GLOBAL,0.5637299650210343,0.2684168374764425,0.0658905715584795,0.18553419030732465,1e-08,2.100203360262287,3.038415365400311,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,9,10,128,GLOBAL,0.5637299650210343,0.2684168374764425,0.0658905715584795,0.18553419030732465,1e-06,2.1001956141253455,3.0383991526742684,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,9,10,128,GLOBAL,0.5637299650210343,0.2684168374764425,0.0658905715584795,0.18553419030732465,0.0001,2.099421288880968,3.0367787533522645,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,3,128,GLOBAL,0.6521209783309507,0.24184779125815448,0.04412699076803683,0.2292419147849164,1e-08,2.6964106141897908,2.8446846227748077,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,3,128,GLOBAL,0.6521209783309507,0.24184779125815448,0.04412699076803683,0.2292419147849164,1e-06,2.696399576522436,2.844672337824674,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,3,128,GLOBAL,0.6521209783309507,0.24184779125815448,0.04412699076803683,0.2292419147849164,0.0001,2.695296265941721,2.8434443784186985,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,4,128,GLOBAL,0.5531014699579869,0.41699465315554174,0.14226702269628844,0.24195045535339915,1e-08,1.3263993974706494,2.2860111847692153,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,4,128,GLOBAL,0.5531014699579869,0.41699465315554174,0.14226702269628844,0.24195045535339915,1e-06,1.3263962484320597,2.2860018310289383,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,4,128,GLOBAL,0.5531014699579869,0.41699465315554174,0.14226702269628844,0.24195045535339915,0.0001,1.326081420064922,2.285066843400258,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,5,128,GLOBAL,0.678020525464252,0.5845400841725072,0.21558932061835012,0.2508069392984782,1e-08,1.1599213334101204,2.7033562162480558,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,5,128,GLOBAL,0.678020525464252,0.5845400841725072,0.21558932061835012,0.2508069392984782,1e-06,1.159919368925243,2.703345545442891,ratio_with_components,EXECUTED
