experiment_id,model_id,method,comparison_type,anchor_batch,batch_a,batch_b,n_features,cosine_similarity,normalized_l1_distance,unit,status
EXP-XAI-STABILITY-001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,8,9,128,0.5250023279514352,0.5478642721045024,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,9,10,128,0.24227575276659075,0.6763174790282845,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,3,128,0.595084029056276,0.46943390803575724,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,4,128,0.33471919288722735,0.6450787265576534,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,5,128,0.34719229562891585,0.7838474743985218,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,6,128,0.45386257612883096,0.5191527942228786,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,7,128,0.586896297816947,0.43585723379546554,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,8,128,0.5426235658253798,0.4519816410352917,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,9,128,0.3463437208112839,0.6088988374938957,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,10,128,0.5625993628742121,0.4577846050818858,similarity_or_normalized_distance,EXECUTED
