experiment_id,model_id,method,sample_id,batch,row_index_in_batch,repeat,latency_ns
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:149,2,149,2,519756
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:149,2,149,3,541967
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:149,2,149,4,507773
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:149,2,149,5,538812
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:165,2,165,1,379563
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:165,2,165,2,343736
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:165,2,165,3,359445
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:165,2,165,4,372690
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:165,2,165,5,449083
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:165,2,165,1,840237
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:165,2,165,2,829598
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:165,2,165,3,797918
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:165,2,165,4,829647
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:165,2,165,5,825460
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:165,2,165,1,545554
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:165,2,165,2,508835
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:165,2,165,3,537890
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:165,2,165,4,515718
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:165,2,165,5,539563
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:211,2,211,1,353874
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:211,2,211,2,345589
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:211,2,211,3,373300
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:211,2,211,4,343616
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:211,2,211,5,342423
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:211,2,211,1,839356
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:211,2,211,2,832874
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:211,2,211,3,806023
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:211,2,211,4,824688
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:211,2,211,5,826622
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:211,2,211,1,547908
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:211,2,211,2,510939
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:211,2,211,3,538831
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:211,2,211,4,509557
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:211,2,211,5,550323
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:212,2,212,1,355567
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:212,2,212,2,346241
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:212,2,212,3,378802
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:212,2,212,4,347392
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:212,2,212,5,342202
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:212,2,212,1,861026
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:212,2,212,2,841229
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:212,2,212,3,851789
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:212,2,212,4,864413
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:212,2,212,5,843864
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:212,2,212,1,545183
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:212,2,212,2,517581
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:212,2,212,3,546967
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:212,2,212,4,517081
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:212,2,212,5,545173
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:322,2,322,1,347532
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:322,2,322,2,345740
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:322,2,322,3,379141
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:322,2,322,4,344888
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:322,2,322,5,370315
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:322,2,322,1,827894
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:322,2,322,2,842471
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:322,2,322,3,833715
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:322,2,322,4,818817
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:322,2,322,5,812506
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:322,2,322,1,549412
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:322,2,322,2,509737
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:322,2,322,3,541357
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:322,2,322,4,545323
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:322,2,322,5,520788
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:0,2,0,1,34470356
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:0,2,0,2,34592877
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:0,2,0,3,35202650
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:0,2,0,4,35266314
EXP-LAT-0001,MODEL-C2,PREDICT_PROBA_SINGLE,B2:0,2,0,5,33333963
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:0,2,0,1,89509041
EXP-LAT-0001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,B2:0,2,0,2,79533054
