model_id,method,scope,batch,phase,feature_count,sample_count,prediction_calls,batch_size,environment_id,median_ns,mean_ns,p95_ns,p99_ns,iqr_ns,min_ns,max_ns,std_ns,cv,n,experiment_id,median_us,p95_us,unit,variance_flag,scientific_scope,baseline_median_us,explanation_overhead_ratio,overhead_numerator_us,overhead_denominator_us,ratio_scope
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,6,TOP_K_REDUCTION_K1,128,1,0,1,HOST-STAGE12-001,5100.0,5614.0,9400.0,16008.999999999944,200.0,4700.0,41800.0,2801.527502531209,0.4990252052959047,450,EXP-XAI-LATENCY-001,5.1,9.4,nanoseconds_raw_microseconds_presentation,HIGH_VARIANCE_HOST_MEASUREMENT,HOST_MEASURED,316.6,,,,NOT_APPLICABLE
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,6,TOP_K_REDUCTION_K10,128,1,0,1,HOST-STAGE12-001,5050.0,5145.111111111111,5400.0,6250.999999999999,300.0,4700.0,19300.0,884.2777235144428,0.1718675660093721,450,EXP-XAI-LATENCY-001,5.05,5.4,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,316.6,,,,NOT_APPLICABLE
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,6,TOP_K_REDUCTION_K20,128,1,0,1,HOST-STAGE12-001,5000.0,5201.333333333333,5500.0,9033.999999999967,100.0,4800.0,19700.0,1232.23157514666,0.2369068652550615,450,EXP-XAI-LATENCY-001,5.0,5.5,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,316.6,,,,NOT_APPLICABLE
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,6,TOP_K_REDUCTION_K3,128,1,0,1,HOST-STAGE12-001,5000.0,5166.444444444444,5300.0,6350.999999999999,200.0,4700.0,21100.0,1284.950850594471,0.2487108618725587,450,EXP-XAI-LATENCY-001,5.0,5.3,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,316.6,,,,NOT_APPLICABLE
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,6,TOP_K_REDUCTION_K5,128,1,0,1,HOST-STAGE12-001,5100.0,5237.111111111111,5400.0,10777.999999999927,300.0,4700.0,27000.0,1601.940808170811,0.3058825322174501,450,EXP-XAI-LATENCY-001,5.1,5.4,nanoseconds_raw_microseconds_presentation,HIGH_VARIANCE_HOST_MEASUREMENT,HOST_MEASURED,316.6,,,,NOT_APPLICABLE
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10,EXPLANATION_COMPUTE,128,129,2,128,HOST-STAGE12-001,711500.0,721264.0,802294.9999999995,934102.0,18425.0,688500.0,1029400.0,42087.580250618514,0.058352531459519,600,EXP-XAI-LATENCY-001,711.5,802.2949999999995,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,316.2,2.2501581277672362,711.5,316.2,LOCAL_MATCHED_MODEL_BATCH_ONLY
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10,SERIALIZATION_JSON,128,1,0,1,HOST-STAGE12-001,63350.0,66422.66666666667,78300.0,92205.0,6900.0,60300.0,111100.0,6714.5062274665215,0.1010875739325911,600,EXP-XAI-LATENCY-001,63.35,78.3,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,316.2,,,,NOT_APPLICABLE
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10,TOP_K_REDUCTION_K1,128,1,0,1,HOST-STAGE12-001,5000.0,5746.666666666667,9504.999999999996,22104.0,300.0,4700.0,41100.0,3076.5615450460787,0.5353645380010578,600,EXP-XAI-LATENCY-001,5.0,9.504999999999995,nanoseconds_raw_microseconds_presentation,HIGH_VARIANCE_HOST_MEASUREMENT,HOST_MEASURED,316.2,,,,NOT_APPLICABLE
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10,TOP_K_REDUCTION_K10,128,1,0,1,HOST-STAGE12-001,5000.0,5101.666666666667,5500.0,6700.999999999999,200.0,4700.0,11800.0,620.6764758726764,0.121661511115193,600,EXP-XAI-LATENCY-001,5.0,5.5,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,316.2,,,,NOT_APPLICABLE
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10,TOP_K_REDUCTION_K20,128,1,0,1,HOST-STAGE12-001,5000.0,5039.0,5300.0,5600.999999999999,200.0,4700.0,10900.0,288.8217963556135,0.057317284452394,600,EXP-XAI-LATENCY-001,5.0,5.3,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,316.2,,,,NOT_APPLICABLE
