experiment_id,model_id,method,scope,batch,phase,metric_name,estimate,ci_low,ci_high,n,bootstrap_repetitions,resampling_unit,unit,measurement_type
EXP-XAI-LATENCY-001,MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,ONE_TIME_GLOBAL_EXTRACTION_COST,median_host_wall_time_ns,21772700.0,21598251.25,21880050.0,100,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,TOP_K_REDUCTION_K1,median_host_wall_time_ns,4800.0,4800.0,4850.0,100,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,TOP_K_REDUCTION_K10,median_host_wall_time_ns,5000.0,4900.0,5000.0,100,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,TOP_K_REDUCTION_K20,median_host_wall_time_ns,4900.0,4900.0,4900.0,100,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,TOP_K_REDUCTION_K3,median_host_wall_time_ns,4800.0,4800.0,4800.0,100,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,TOP_K_REDUCTION_K5,median_host_wall_time_ns,4900.0,4900.0,5000.0,100,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,MODEL,MODEL,,MODEL_LOAD,median_host_wall_time_ns,33497500.0,33398000.0,35700200.0,9,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,2,GLOBAL_EXPLANATION_TOTAL,median_host_wall_time_ns,9463815500.0,9436451100.0,9467838300.0,3,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,6,GLOBAL_EXPLANATION_TOTAL,median_host_wall_time_ns,9359869200.0,9299690700.0,9360704800.0,3,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,10,GLOBAL_EXPLANATION_TOTAL,median_host_wall_time_ns,9677474500.0,9531043400.0,9784048500.0,3,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE,LOCAL,2,EXPLANATION_COMPUTE,median_host_wall_time_ns,1394145600.0,1391971200.0,1407673300.0,5,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE,LOCAL,6,EXPLANATION_COMPUTE,median_host_wall_time_ns,1397350100.0,1392909700.0,1403717000.0,5,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE,LOCAL,10,EXPLANATION_COMPUTE,median_host_wall_time_ns,1416216100.0,1410865500.0,1460840500.0,5,1000,timing_replicate,nanoseconds,MEASURED_HOST
