experiment_id,model,protocol,test_batch,gas_class,precision,recall,f1,support
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,3,2,0.9975903614457832,0.8448979591836735,0.9149171270718232,490
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,3,3,0.032679738562091505,0.023148148148148147,0.02710027100271003,216
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,3,4,0.0,0.0,0.0,240
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,3,5,1.0,0.38545454545454544,0.5564304461942258,275
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,3,6,0.0,0.0,0.0,0
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,4,1,0.3829787234042553,0.28125,0.32432432432432434,64
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,4,2,0.7450980392156863,0.8837209302325582,0.8085106382978723,43
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,4,3,0.031746031746031744,0.16666666666666666,0.05333333333333334,12
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,4,4,0.0,0.0,0.0,30
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,4,5,0.0,0.0,0.0,12
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,4,6,0.0,0.0,0.0,0
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,5,1,0.09558823529411764,0.4642857142857143,0.15853658536585366,28
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,5,2,0.8928571428571429,0.625,0.7352941176470589,40
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,5,3,0.0,0.0,0.0,20
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,5,4,0.0,0.0,0.0,46
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,5,5,0.0,0.0,0.0,63
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,5,6,0.0,0.0,0.0,0
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,6,1,0.2075149444918873,0.4727626459143969,0.2884272997032641,514
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,6,2,0.5755053507728894,0.8432055749128919,0.6840989399293286,574
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,6,3,0.003472222222222222,0.00909090909090909,0.005025125628140704,110
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,6,4,0.0,0.0,0.0,29
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,6,5,0.0,0.0,0.0,606
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,6,6,0.0,0.0,0.0,467
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,7,1,0.19903339191564148,0.6979969183359014,0.30974358974358973,649
